"TIME","TEMP_P","TEMP_H","PRESS","HUMID","AccX","AccY","AccZ","GyrX","GyrY","GyrZ","MagX","MagY","MagZ"
1521044503.26, 31.3374996185, 33.6409339905, 1064.74633789, 34.3693313599, 0.0133345257491, -0.0127849727869, 1.00013196468, 0.0238056518137, 0.0139491893351, 0.00438265688717, -23.1579742432, -14.2287511826, -30.7013053894
1521044505.35, 31.3395843506, 33.6051254272, 1064.71484375, 33.9088897705, 0.0147892013192, -0.0123025206849, 0.999157071114, 0.0220395438373, 0.0138482153416, 0.00297410227358, -23.0875358582, -14.5199165344, -31.4164600372
"TIME","TEMP_P","TEMP_H","PRESS","HUMID","AccX","AccY","AccZ","GyrX","GyrY","GyrZ","MagX","MagY","MagZ"
1521044685.89, 0, 37.7588691711, 0, -10.0666656494, -0.18315204978, 1.03793823719, 1.47729027271, -2.69623780251, -1.22888576984, 0.120200186968, -4.85529518127, 1.97630727291, -10.3374328613
1521044687.97, 34.8979187012, 37.8662948608, 1045.86230469, -8.50799942017, -0.172784954309, 0.926739215851, 0.340200811625, 0.0230856053531, 0.0168149881065, 0.00123891420662, -7.23756217957, 2.58192205429, -15.9529314041
1521044690.07, 34.9458312988, 37.8483886719, 1045.7902832, -8.68222045898, -0.170069769025, 0.927953183651, 0.341662973166, 0.0222210995853, 0.0133236497641, -0.000909376889467, -8.71348190308, 2.97131538391, -18.782119751
1521044692.16, 34.9937515259, 37.9200057983, 1045.75097656, -8.77866744995, -0.16982293129, 0.927224874496, 0.341662973166, 0.017866615206, 0.0128782726824, -0.000579049810767, -9.43217086792, 3.22489190102, -20.0753326416
1521044694.25, 35.0250015259, 37.8304862976, 1045.67407227, -8.9186668396, -0.16982293129, 0.926010847092, 0.343856245279, 0.0172659903765, 0.0104281641543, -0.000585163012147, -9.91159343719, 3.55671334267, -21.2348613739
1521044696.34, 35.1645812988, 37.9916229248, 1045.7902832, -9.03999710083, -0.171550780535, 0.927467644215, 0.341419279575, 0.0154889039695, 0.0122482851148, -0.00088151730597, -10.0634708405, 3.58871245384, -20.7670154572
1521044698.43, 35.2458343506, 38.1706619263, 1045.77709961, -8.98711013794, -0.171303927898, 0.928438842297, 0.341906696558, 0.013499956578, 0.00956906378269, 3.78508120775e-05, -9.85343265533, 3.88103199005, -21.0798492432
1521044700.52, 35.2833328247, 38.027431488, 1045.82958984, -8.61377716064, -0.170069769025, 0.926253676414, 0.339469730854, 0.0128204859793, 0.00813857838511, 0.000661469995975, -9.87368774414, 3.86982393265, -20.9576587677
