RANK,TIME,TEMP_P,TEMP_H,PRESS,HUMID,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ
1,1520971669.222,-0.845832824707031,27.4282188415527,992.287109375,58.3373336791992,0.012364741414785,-0.084670290350914,0.234923765063286,2.4417610168457,0.087760083377361,-0.017225787043572,-6.70828723907471,-15.5011034011841,-13.5719547271729
2,1520971671.4088,25.2229175567627,27.4103164672852,1067.00024414063,59.329776763916,0.006303593982011,-0.019539296627045,1.00061929225922,0.020526003092527,0.01189755089581,0.000167651101947,-9.54657459259033,-23.0972270965576,-20.0642681121826
3,1520971673.56629,25.2437496185303,27.4819316864014,1067.03833007813,59.8151092529297,0.006061147898436,-0.018333168700337,1.00256884098053,0.017706582322717,0.012469282373786,-0.000140786170959,-11.186393737793,-26.9743785858154,-24.1469650268555
4,1520971675.70097,25.2604160308838,27.53564453125,1067.02172851563,59.0311088562012,0.006061147898436,-0.021227879449725,1.00476205348969,0.016538443043828,0.01126023940742,-0.001345269382,-11.940803527832,-29.1429901123047,-26.1938705444336
5,1520971677.88706,25.2958335876465,27.58935546875,1067.01098632813,58.7604446411133,0.005576256196946,-0.020745426416397,1.00281262397766,0.015072656795383,0.011292656883597,0.000778688117862,-12.2451314926147,-30.2175197601318,-27.4653129577637
6,1520971680.08626,25.3395824432373,27.58935546875,1067.04125976563,58.3902206420899,0.020607901737094,-0.004342066124082,1.00768649578094,-0.000644981861115,0.014280810952187,0.296842277050018,-12.3800954818726,-31.0374584197998,-27.2168426513672
7,1520971682.30162,25.377082824707,27.6072597503662,1067.03173828125,58.7511100769043,0.013819416984916,-0.018091943114996,1.00403106212616,0.021515388041735,0.005807770416141,-0.00269927084446,-13.0129356384277,-30.7168464660645,-28.1957874298096
8,1520971689.01885,25.5083332061768,27.6430683135986,1067.14990234375,58.6235542297363,-0.26139897108078,0.193505674600601,1.09907281398773,-0.047191258519888,-0.181581646203995,0.742907166481018,-12.3424272537231,-29.459602355957,-26.6896286010742
9,1520971693.58602,25.5791664123535,27.8042049407959,1067.16064453125,58.897331237793,-0.024436730891466,0.566435098648071,0.831981062889099,0.020268317312002,0.001649737358093,-0.003510199487209,-10.7138032913208,-22.583776473999,-21.5521202087402
12,1520972306.15,29.4354171753,31.6893882751,1067.21313477,45.5413322449,0.000484891847009,-0.0115788429976,0.999157071114,0.00643684156239,0.00610521063209,0.0016822796315,-5.86491060257,-22.3076114655,-21.8061180115
13,1520972308.24,29.4458332062,31.5819644928,1067.19018555,47.0626678467,0.00484891841188,-0.0135086504743,1.00329995155,0.00548717752099,0.00312472879887,0.00129849091172,-6.66836166382,-26.1877117157,-25.9753665924
14,1520972310.32,29.4458332062,31.74310112,1067.19091797,47.3675537109,0.00145467545372,-0.0123025206849,1.00378727913,0.00642668269575,0.00418623909354,0.001534499228,-7.21403837204,-28.0520343781,-27.8089160919
15,1520972312.41,29.4729156494,31.7251968384,1067.20532227,46.4746665955,0.00266690505669,-0.0123025206849,1.00549328327,0.0046365968883,0.00284781679511,-3.32351773977E-05,-7.34439134598,-29.0616493225,-28.9104747772
18,1520972685.69,30.3395843506,32.5129776001,1067.28735352,43.537776947,0.00193956738804,-0.0118200685829,0.999400794506,0.00341640785336,0.00359651073813,0.00121194683015,-6.60052442551,-22.0999355316,-22.7629623413
19,1520972687.78,30.3416671753,32.5129776001,1067.34033203,43.4786643982,0.00145467545372,-0.0115788429976,1.00159394741,0.00417316704988,0.00225671008229,0.00206772983074,-7.714012146,-25.5114154816,-26.9977073669
20,1520972689.87,30.3354167938,32.4771690369,1067.40356445,43.4133338928,0.00169712142088,-0.0123025206849,1.00159394741,0.00394112244248,0.00208973512053,0.000478694215417,-8.16158771515,-27.5299320221,-29.81407547
21,1520972691.96,30.3395843506,32.5129776001,1067.42773438,45.5568885803,0.000242445923504,-0.0118200685829,1.00037550926,0.00380057096481,0.000209230929613,0.00103041157126,-8.37485027313,-28.7762470245,-30.0887641907
22,1520972694.05,30.3583335876,32.6203994751,1067.41723633,44.5613327026,0.00339424284175,-0.0113376174122,1.00378727913,0.00631963461637,0.00108957663178,0.00158017873764,-8.89288139343,-29.0903873444,-31.3754634857
23,1520972696.14,30.3666667938,32.5845947266,1067.43896484,43.1768875122,0.00169712142088,-0.0115788429976,1.00427472591,0.00219259783626,0.000119347125292,2.01910734177E-05,-8.92400455475,-29.2686576843,-31.222234726
24,1520972698.23,30.3833332062,32.5487823486,1067.41308594,43.4755554199,0.0036366886925,-0.0120612950996,1.00500583649,0.00356554239988,0.00128956511617,0.000595146790147,-8.8982257843,-29.44257164,-31.5110225677
